generator,dataset,seed,method,n_documents,coverage,frozen_hmp,topicgpt_weighted_best_f1
GPT-4.1 mini,bills,11,hybrid,376,0.9388297872340425,0.40490524731477046,0.35280026589159286
GPT-4.1 mini,bills,11,initial,376,0.9388297872340425,0.40381904825827236,0.35165375641436053
GPT-4.1 mini,bills,11,direct_hybrid,376,1.0,0.41803827110932695,0.36605627617146314
GPT-4.1 mini,bills,11,direct_initial,376,1.0,0.44670332972713067,0.3747304431939995
GPT-4.1 mini,bills,11,bertopic,376,1.0,0.18766581699006396,0.1454949663746775
GPT-4.1 mini,bills,11,kmeans,376,1.0,0.4488753799392097,0.3758094733437938
GPT-4.1 mini,bills,23,hybrid,376,0.9388297872340425,0.444369255948634,0.40369086964064244
GPT-4.1 mini,bills,23,initial,376,0.9388297872340425,0.4437869822485207,0.4038250125308123
GPT-4.1 mini,bills,23,direct_hybrid,376,1.0,0.48298163004301825,0.42912992486498025
GPT-4.1 mini,bills,23,direct_initial,376,1.0,0.4809093558729233,0.42412720007820487
GPT-4.1 mini,bills,23,bertopic,376,1.0,0.18766581699006396,0.1454949663746775
GPT-4.1 mini,bills,23,kmeans,376,1.0,0.4346596387478306,0.3892491074287388
GPT-4.1 mini,bills,37,hybrid,376,0.9388297872340425,0.4340489811660346,0.38390560127863443
GPT-4.1 mini,bills,37,initial,376,0.9388297872340425,0.39316653960773446,0.34183611748691883
GPT-4.1 mini,bills,37,direct_hybrid,376,1.0,0.39946456249119344,0.3513576368888192
GPT-4.1 mini,bills,37,direct_initial,376,1.0,0.3948066073006593,0.32768981127065644
GPT-4.1 mini,bills,37,bertopic,376,1.0,0.18766581699006396,0.1454949663746775
GPT-4.1 mini,bills,37,kmeans,376,1.0,0.48131811105345096,0.43122278313536183
GPT-4.1 mini,bills,53,hybrid,376,0.9388297872340425,0.37320848108747046,0.3253639680057826
GPT-4.1 mini,bills,53,initial,376,0.9388297872340425,0.36358056836780245,0.3120226287796516
GPT-4.1 mini,bills,53,direct_hybrid,376,1.0,0.41449090542989464,0.36705659159633885
GPT-4.1 mini,bills,53,direct_initial,376,1.0,0.4376589541591713,0.36323113825914444
GPT-4.1 mini,bills,53,bertopic,376,0.875,0.27024191197901487,0.21937799565617916
GPT-4.1 mini,bills,53,kmeans,376,1.0,0.4955650367708977,0.44391149428696364
GPT-4.1 mini,bills,71,hybrid,376,0.9388297872340425,0.405172999796071,0.3577144669749314
